Date,Latitude,Longitude,WS2M,WD2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
20160716,-106.14,41.06056,0.37,262.8,17.23,25.79,9.34,-0.11,35,74.33,30.45,18.77,13.4,1
19930324,-104.97,43.6133,3.53,260.9,10.94,22.29,1.05,-3.24,42.44,85.96,24.44,20.66,3.1,1
20040715,-105.5297,42.4397,2.42,88.4,20.26,28.59,14.11,10.77,56.91,80.58,32.69,19.01,10.21,1
20140722,-106.7242,40.725,0.4,147.6,19.76,29.64,9.12,-0.64,30.15,75.39,24.22,32.13,2.49,1
20000902,-105.5231,42.2178,3.9,240.8,16.07,24.25,8.89,0.51,40.77,79.38,26.6,24.68,4.6,1
20020712,-106.795,40.8139,0.13,115.1,19.83,30.72,7.98,-4.19,26.3,75.17,23.84,33,3.49,1
20170819,-106.88389,40.92528,0.4,274.6,15.75,24.54,7.51,-2.53,32.72,74.9,24.71,27.47,3.51,1
20220605,-105.4786,42.40395,4.37,279.6,16.39,23.78,10.99,5.86,54.82,79.48,27.91,26.73,11.52,1
20110720,-105.8183,42.5228,4.54,265.4,22.21,29.93,15.26,6.24,41.13,80.06,28.63,30.32,4.2,1
20000727,-105.5008,42.2342,1.54,250,23.04,32.58,14.4,6.15,39.55,79.65,30.29,23.49,11.22,1
20130728,-105.3614,43.7753,1.59,136.3,20.63,27.06,14.21,12.69,64.97,85.18,31.9,21.1,7.53,1
20170703,-106.28944,41.18389,0.48,274.5,16.46,23.99,7.01,3.25,47.06,74.72,29.11,24.97,8.92,1
19890714,-107.7667,40.3667,1.98,345.9,19.32,26.83,10.42,1.83,34.07,77.93,24.13,31.2,8.51,1
19870915,-107.0083,40.85,0.25,312.5,7.77,15.59,1.62,0.47,64.41,74.39,27.4,18.84,9.3,1
20100807,-105.4847,42.4033,4.09,262.9,21.63,29.7,13.69,7.74,44.72,79.96,30.17,26.55,5.81,1
19940830,-105.355,41.2817,2.11,54,15.06,24.09,7.39,2.7,49.49,78.6,28.28,20.57,16.66,1
19880621,-107,40.75,0.14,136.3,18.73,27.17,9.81,7.27,54.49,75.01,26.36,25.55,14.57,1
20180701,-106.10694,41.14389,0.59,249.3,12.91,21.76,1.88,-3,37.15,74.57,23.35,33.13,2.4,1
20120722,-104.9589,42.2947,1.76,170.9,27.22,34.32,19.43,12.19,44.32,84.37,35.2,22.35,8.33,1
20171018,-107.27167,40.13889,0.92,249.5,8.5,16.87,0.68,-10.16,26.38,74.51,22.1,16.6,1.95,1
20210620,-106.80021,40.15784,0.1,278.3,17.41,27.31,6.96,1.4,44.25,74.29,26.81,27.45,7.16,1
19890703,-106.0833,46,1.85,109.8,26.2,35.62,15.34,7.45,35.27,91.07,28.5,30.87,6.26,1
20080808,-105.3428,43.6011,2.33,156.5,24.48,32.1,16.08,11.07,48.16,84.36,32.39,17.99,10.12,1
20000706,-106.1072,41.4425,1.88,231.2,18.89,28.12,7.74,-3.2,28.15,76.03,26.52,32.29,3.51,1
20200730,-107.31631,37.38066,0.41,347.2,15.58,25.24,5.79,-2.68,34.26,71.86,23.37,31.5,3.12,1
19900810,-107.56917,37.43028,0.32,91.5,14.01,24.81,7.77,3.06,53.32,71.99,27.21,17.8,9.92,1
19850831,-107.32389,37.25861,0.29,188.8,16.67,25.64,9.43,3.15,45.17,71.73,28.09,20.68,13.69,1
20030726,-107.22611,37.37,0.2,56,16.95,25.55,9.88,7.1,57.29,71.93,28.37,16.79,5.22,1
20110715,-106.84417,37.38917,1.99,226.3,17.54,25.44,10.37,-1.97,27.69,71.58,25.67,28.2,8.07,1
19850815,-107.07222,37.15778,2.24,250.6,16.8,25.21,8.04,-1.92,31.77,75.64,22.5,26.2,13.84,1
20130820,-108.49917,37.61222,0.69,35.3,22.23,27.9,17.32,9.8,46.72,79.91,29.71,20.95,8.08,1
19880826,-108.73583,37.65944,0.95,181.8,20.14,26.72,15.59,13.42,69.04,79.74,30.16,17.87,17.38,1
19960622,-108.7475,37.88611,3.93,207.1,18.64,26.25,10.54,1.52,41.68,78.57,25.52,30.78,8.55,1
20200803,-107.33261,37.29156,0.4,213.9,17.1,25.65,9.91,4.69,49.5,71.82,26.85,24.47,8.85,1
20070709,-107.32972,37.22139,1.29,290.5,23.6,33.73,13.01,2.2,30.68,78.74,25.23,28.21,9.42,1
20170720,-107.16444,37.25639,1.67,207.3,17.19,24.58,9.9,8.12,60.3,72.06,28.06,24.1,7.24,1
20070802,-106.88056,37.27083,1.27,139.6,15.89,23.43,9.31,9.25,69.42,71.91,28.41,24.31,7.03,1
20060711,-107.29861,37.16111,1.2,282.8,20.96,29.35,11.45,6.87,44.78,79,25.34,26.1,7.31,1
20170702,-108.80611,37.87444,3,194,20.84,27.75,12.89,2.7,33.11,79.24,28.56,22.68,11.59,1
19971018,-107.30583,37.22472,1,279.1,10.04,20.68,2.04,-3.17,43.84,78.77,18.56,18.69,1.68,1
20040718,-108.55056,37.52028,1.15,228.8,23.46,30.71,17.66,10.97,48.41,80.05,31.16,26.03,6.78,1
20020708,-107.4775,37.34333,0.33,85.4,16.88,25.59,10.29,6.68,56.69,72.05,27.76,22.75,7.55,1
20180604,-106.91028,37.41389,1.47,276.9,13.85,23.63,2.6,-1.69,42.68,71.7,24.88,28.89,6.83,1
19960610,-107.19167,37.56583,0.56,298.6,15.6,24.26,6.98,-3.41,30.9,71.53,25.88,26.71,15.53,1
19961002,-106.86333,37.16111,2.96,138.9,13.15,22.43,6.57,1.43,48.75,76.03,25.18,14.1,9.45,1
20200530,-106.86731,37.37485,1.17,231.3,13.98,20.3,6.86,5.4,60.32,71.88,27.25,17.62,7.78,1
20060703,-107.86028,37.48278,1.18,316.6,17.65,24.47,10.35,6.93,53.89,74.36,28.48,19.89,9.41,1
19891104,-107.81194,37.45694,0.51,309.5,-1.8,5.8,-7.22,-8.9,60.72,70.67,16.3,14.62,5.7,1
20150514,-107.87472,37.37861,2.62,165.5,6.62,11.18,1.86,0.86,67.28,73.36,25.11,16.31,12.97,1
20060717,-107.14972,37.35139,1.73,106,20.07,28.36,13.19,3.88,38.35,72.19,28.69,24.55,7.7,1
20110708,-107.52028,37.14361,1.41,257.7,23.97,31.56,18.24,7.79,38.25,78.81,27.1,28.27,8.1,1
20030817,-108.73778,37.86361,1.25,260.3,19.19,26.33,11.49,8.32,53.89,79.17,28.59,21.81,8.81,1
20200528,-108.21201,37.39789,1.32,318.8,16.53,24.7,6.64,3.11,45.87,74.18,26.76,30.38,6.29,1
20020904,-107.81611,37.65694,1.38,204.3,15.94,24.23,8.11,2.82,49.92,74.35,25.39,17.74,6.48,1
19970718,-108.10389,37.52611,1.25,165,16.81,24.09,10.74,6.82,55.51,74.06,30.48,24.98,16.3,1
20060702,-107.34444,37.23444,1.01,239.4,21.37,28.16,14.44,9.97,52.4,79.14,28.55,21.51,10.64,1
19940723,-107.39917,37.19917,0.65,216.6,23.6,31.74,14.89,8.38,41.9,79.15,27.86,22,13.97,1
20000829,-106.87778,37.26944,1.59,220.8,13.2,18.77,7.66,5.7,63.53,71.84,26.99,19.83,15,1
19840729,-107.50889,37.16194,0.79,206.5,21.16,27.31,14.85,11.06,56.56,79.2,28.44,22.73,20.65,1
19910718,-107.78722,37.35167,0.33,331,15.35,22.97,9.11,6.5,59.72,71.5,27.98,20.33,12.29,1
19960725,-106.92167,37.25667,1.47,266.5,16.85,24.11,10.18,1.39,38.72,71.94,28.68,20.15,17.72,1
20170918,-106.84972,37.17278,2.06,236.8,13.52,20.97,6.9,-2.6,36.28,75.75,21.67,23.99,2.38,1
19960609,-107.78667,37.50056,0.5,344.2,15,23.3,7.51,-1.94,34.05,71.61,25.37,20.39,11.91,1
20040712,-107.50528,37.24556,0.91,176.7,24.25,34.19,14.57,7.62,41.5,79.07,28.39,22.66,8.51,1
20080809,-107.33306,37.23778,1.1,275.8,20.54,28.07,12.67,10.07,55.21,78.78,27.91,21.57,8.15,1
19980901,-107.78833,37.34167,0.23,75.8,9.5,16.24,4.3,5.83,80.12,71.65,28.04,13.68,13.49,1
19890619,-107.1525,37.52583,2.41,236.3,18.64,27.62,10.1,-3.84,24.54,71.87,24.56,25.75,12.23,1
20200905,-107.14951,37.58005,1.46,236.9,17.75,27.13,10.13,-0.47,31.88,72.43,25.08,24.07,4.62,1
20200727,-107.90881,37.34016,1.56,137.6,14.78,19.28,9.93,11.05,79.84,74.31,29.49,18.99,9.84,1
19871005,-108.14472,37.47222,1.93,342.6,10.56,20.6,3.01,-5.95,33.43,74.18,21.85,20.23,4.57,1
20030809,-107.23417,37.30361,0.31,336.3,15.96,24.93,8.38,6.36,57.81,72.01,28.71,22.23,8.46,1
19900530,-107.68694,37.63389,0.39,269.9,5.6,13.87,-2.98,-2.45,61.69,70.89,22.24,25.28,17.57,1
20080426,-107.11028,37.15278,2.77,294.6,3.83,12.22,-4.16,-10.74,36.85,75.56,16.95,30.63,5.01,1
20200711,-107.16941,37.29037,1.52,281.7,20.41,30.34,10.19,-8.08,16.34,72.16,25.03,30.74,7.3,1
20000729,-106.94,37.105,1.47,75.1,19.54,27.33,12.64,7.58,50.76,76.12,25.63,22.35,17.07,1
20030531,-107.74889,37.60083,0.41,313.2,14.22,21.12,7.08,1.63,46.2,71.38,27.26,20.97,10.27,1
20200520,-107.80161,37.65339,0.52,243,4.91,12.1,-2.05,-10.81,36.24,70.95,19.36,31.63,6.39,1
19920625,-106.84444,37.17111,2.06,260.1,17.32,23.56,12.37,4.52,44.89,75.64,21.77,25.11,13.66,1
20030603,-108.21917,37.45889,2.41,318.9,14.31,22.76,5.37,-4.28,31.32,73.63,23.78,32.8,4.24,1
